[ 2026-01-23 12:38:41,479 ] 17 root - INFO - Initiate the data ingestion
[ 2026-01-23 12:38:46,341 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-01-23 12:38:46,341 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-23 12:38:46,342 ] 75 root - INFO - Exporting train and test file path.
[ 2026-01-23 12:38:46,441 ] 84 root - INFO - Exported train and test file path.
[ 2026-01-23 12:38:46,441 ] 19 root - INFO - Data Initiation Completed
[ 2026-01-23 12:38:46,469 ] 23 root - INFO - Initiate the data Validation
[ 2026-01-23 12:38:46,536 ] 32 root - INFO - Required number of columns:2
[ 2026-01-23 12:38:46,537 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-23 12:38:46,537 ] 32 root - INFO - Required number of columns:2
[ 2026-01-23 12:38:46,537 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-23 12:38:46,743 ] 25 root - INFO - data Validation Completed
[ 2026-01-23 12:38:46,743 ] 28 root - INFO - data Transformation started
[ 2026-01-23 12:38:46,743 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-23 12:38:46,744 ] 65 root - INFO - Starting data transformation
[ 2026-01-23 12:38:46,778 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-23 12:38:46,778 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-23 12:38:46,800 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-23 12:38:46,805 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-23 12:38:46,805 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-23 12:38:46,809 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-23 12:38:46,810 ] 32 root - INFO - data Transformation completed
